Species,Countries,Latitude,Longitude
Panda,China,35.8617,104.1954
Tiger,"India, Bangladesh, Nepal, Bhutan, Myanmar, Malaysia, Indonesia, Thailand, Russia",20.5937,78.9629
Arctic Fox,"Canada, Greenland, Iceland, Norway, Sweden, Finland, Russia, Alaska (USA)",56.1304,-106.3468
Siberian Crane,"Russia, China, Mongolia, Kazakhstan, India, Iran",61.524,105.3188
Beluga Whale,"Canada, Russia, Norway, Greenland (Denmark), United States (Alaska), Iceland",62.8316,-42.6043
