Species,Endangered Enlistment Year,Current Status (IUCN),Year of Assessment
Panda,1984,Vulnerable,2016
Tiger,1986,Endangered,2022
Arctic Fox,2009,Least Concern,2014
Siberian Crane,1996,Critically Endangered,2010
Beluga Whale,2008,Near Threatened,2017
